state,submission_date,submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
FL,10,2020,22987074,0.0,0.0,93946,17637.0,486915,0.0,0.0,2444,88.0
FL,11,2020,26462866,0.0,0.0,191373,47996.0,528479,0.0,0.0,1836,88.0
FL,12,2020,35351736,0.0,0.0,317158,94358.0,625279,0.0,0.0,3076,231.0
FSM,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,1,2021,24,24.0,0.0,1,0.0,0,0.0,0.0,0,0.0
FSM,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,2,2021,28,28.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,3,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,3,2021,31,31.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,4,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,4,2021,30,30.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,5,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,5,2021,31,31.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,6,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,6,2021,30,30.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,7,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,7,2021,128,128.0,0.0,2,0.0,0,0.0,0.0,0,0.0
FSM,8,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,9,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,10,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,11,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,12,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GA,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GA,1,2021,24831227,20730515.0,4100712.0,242993,59802.0,381989,341763.0,40226.0,3264,566.0
GA,2,2020,2,2.0,0.0,2,0.0,0,0.0,0.0,0,0.0
GA,2,2021,26992282,22102767.0,4889515.0,97076,28427.0,446576,392070.0,54506.0,3097,599.0
GA,3,2020,25247,25228.0,17.0,4234,2.0,721,0.0,0.0,130,0.0
GA,3,2021,32140432,25957402.0,6183030.0,53027,19148.0,567643,494526.0,73117.0,1760,221.0
GA,4,2020,453117,452895.0,222.0,21005,9.0,18096,10065.0,0.0,981,0.0
GA,4,2021,32411603,25992676.0,6418927.0,40639,13180.0,589445,513463.0,75982.0,1135,183.0
GA,5,2020,1097391,1096778.0,613.0,20371,18.0,49332,49332.0,0.0,941,0.0
GA,5,2021,34551307,27577243.0,6974064.0,23654,7427.0,636022,552299.0,83723.0,647,138.0
GA,6,2020,1808377,1789607.0,18770.0,36065,1526.0,74287,74287.0,0.0,753,0.0
GA,6,2021,33882611,26997805.0,6884806.0,10732,3390.0,635569,549554.0,86015.0,586,158.0
GA,7,2020,4172180,4061975.0,110205.0,109057,4732.0,98285,98285.0,0.0,947,0.0
GA,7,2021,28606686,22739764.0,5866922.0,23132,8640.0,538031,464672.0,73359.0,191,24.0
GA,8,2020,7476634,7196792.0,279842.0,90035,5949.0,145264,145264.0,0.0,1881,0.0
GA,9,2020,9349629,8873507.0,476122.0,54948,6986.0,192732,192732.0,0.0,1388,0.0
GA,10,2020,11196121,10448853.0,747268.0,53276,9868.0,233793,233793.0,0.0,958,0.0
GA,11,2020,12860645,11689214.0,1171431.0,82570,20340.0,264163,253008.0,11155.0,1473,674.0
GA,12,2020,17500247,15239358.0,2260889.0,194889,50346.0,316961,288934.0,28027.0,1482,388.0
GU,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GU,1,2021,231663,0.0,0.0,300,28.0,3897,0.0,0.0,8,0.0
GU,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GU,2,2021,215322,0.0,0.0,126,2.0,3634,0.0,0.0,1,0.0
GU,3,2020,528,0.0,0.0,71,0.0,11,0.0,0.0,2,0.0
GU,3,2021,241007,0.0,0.0,76,1.0,4135,0.0,0.0,4,0.0
GU,4,2020,3828,0.0,0.0,75,7.0,138,0.0,0.0,3,0.0
GU,4,2021,236252,0.0,0.0,165,8.0,4080,0.0,0.0,2,0.0
GU,5,2020,4905,0.0,0.0,29,4.0,155,0.0,0.0,0,0.0
GU,5,2021,250828,0.0,0.0,198,20.0,4300,0.0,0.0,3,0.0
GU,6,2020,6153,0.0,0.0,92,0.0,150,0.0,0.0,0,0.0
GU,6,2021,248057,0.0,0.0,193,27.0,4174,0.0,0.0,1,0.0
GU,7,2020,9929,0.0,0.0,89,0.0,155,0.0,0.0,0,0.0
GU,7,2021,211326,0.0,0.0,140,4.0,3540,0.0,0.0,3,0.0
GU,8,2020,21799,0.0,0.0,1091,0.0,195,0.0,0.0,8,0.0
GU,9,2020,59465,0.0,0.0,1041,-6.0,844,0.0,0.0,36,0.0
GU,10,2020,111151,0.0,0.0,2140,47.0,1980,0.0,0.0,30,0.0
GU,11,2020,176315,0.0,0.0,2261,83.0,2861,0.0,0.0,33,0.0
GU,12,2020,221512,0.0,0.0,419,47.0,3644,0.0,0.0,9,0.0
HI,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
HI,1,2021,733219,0.0,0.0,4176,73.0,10172,0.0,0.0,121,0.0
HI,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
HI,2,2021,748291,0.0,0.0,1687,95.0,11820,0.0,0.0,29,0.0
